Gerschgorin Discs for 225x225 matrix
Row   Centre        Radius        Lo            Hi            
206   -17.6203      1962.8674     -1980.4877    1945.2470     
207   -23.3614      2093.6621     -2117.0235    2070.3006     
208   -36.0379      2380.1321     -2416.1700    2344.0942     
209   -71.6644      2651.6290     -2723.2934    2579.9646     
210   -262.2882     6034.1983     -6296.4865    5771.9101     
211   0.0000        9841.9417     -9841.9417    9841.9417     
212   0.0000        6316.3607     -6316.3607    6316.3607     
213   -71.6644      5414.5294     -5486.1938    5342.8650     
214   -36.0379      5148.5454     -5184.5833    5112.5075     
215   -23.3614      5023.8971     -5047.2585    5000.5356     
216   -17.6203      4960.7270     -4978.3473    4943.1067     
217   -14.8284      4930.0828     -4944.9112    4915.2544     
218   -13.6569      4920.7814     -4934.4382    4907.1245     
219   -13.6569      4929.6858     -4943.3427    4916.0290     
220   -14.8284      4959.2386     -4974.0671    4944.4102     
221   -17.6203      5018.4147     -5036.0350    5000.7944     
222   -23.3614      5124.2621     -5147.6235    5100.9006     
223   -36.0379      5227.4275     -5263.4654    5191.3896     
224   -71.6644      2444.1089     -2515.7734    2372.4445     
225   -262.2882     6240.3458     -6502.6340    5978.0577     

Union interval: [ -9841.9417 , 9841.9417 ]
